ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,9.796180467197166,1.2141797869530475E-19
ITERATION 1,10.0,4.318345251308544E-23
ITERATION 2,10.0,3.153023112406182E-24
ITERATION 3,9.470129783705667,1.3933516377678302E-28
ITERATION 4,10.0,3.975449735908662E-31
ITERATION 5,10.0,3.975449735908662E-31
ITERATION 6,10.0,3.975449735908662E-31
ITERATION 7,10.0,3.975449735908662E-31
ITERATION 8,10.0,3.975449735908662E-31
ITERATION 9,10.0,3.975449735908662E-31
ITERATION 10,10.0,3.975449735908662E-31
ITERATION 11,10.0,3.975449735908662E-31
ITERATION 12,10.0,3.975449735908662E-31
ITERATION 13,10.0,3.975449735908662E-31
ITERATION 14,10.0,3.975449735908662E-31
ITERATION 15,10.0,3.975449735908662E-31
ITERATION 16,10.0,3.975449735908662E-31
ITERATION 17,10.0,3.975449735908662E-31
ITERATION 18,10.0,3.975449735908662E-31
ITERATION 19,10.0,3.975449735908662E-31
ITERATION 20,10.0,3.975449735908662E-31
ITERATION 21,10.0,3.975449735908662E-31
ITERATION 22,10.0,3.975449735908662E-31
ITERATION 23,10.0,3.975449735908662E-31
ITERATION 24,10.0,3.975449735908662E-31
ITERATION 25,10.0,3.975449735908662E-31
ITERATION 26,10.0,3.975449735908662E-31
ITERATION 27,10.0,3.975449735908662E-31
ITERATION 28,10.0,3.975449735908662E-31
ITERATION 29,10.0,3.975449735908662E-31
ITERATION 30,10.0,3.975449735908662E-31
ITERATION 31,10.0,3.975449735908662E-31
ITERATION 32,10.0,3.975449735908662E-31
ITERATION 33,10.0,3.975449735908662E-31
ITERATION 34,10.0,3.975449735908662E-31
ITERATION 35,10.0,3.975449735908662E-31
ITERATION 36,10.0,3.975449735908662E-31
ITERATION 37,10.0,3.975449735908662E-31
ITERATION 38,10.0,3.975449735908662E-31
ITERATION 39,10.0,3.975449735908662E-31
ITERATION 40,10.0,3.975449735908662E-31
ITERATION 41,10.0,3.975449735908662E-31
ITERATION 42,10.0,3.975449735908662E-31
ITERATION 43,10.0,3.975449735908662E-31
ITERATION 44,10.0,3.975449735908662E-31
ITERATION 45,10.0,3.975449735908662E-31
ITERATION 46,10.0,3.975449735908662E-31
ITERATION 47,10.0,3.975449735908662E-31
ITERATION 48,10.0,3.975449735908662E-31
ITERATION 49,10.0,3.975449735908662E-31
ITERATION 50,10.0,3.975449735908662E-31
ITERATION 51,10.0,3.975449735908662E-31
ITERATION 52,10.0,3.975449735908662E-31
ITERATION 53,10.0,3.975449735908662E-31
ITERATION 54,10.0,3.975449735908662E-31
ITERATION 55,10.0,3.975449735908662E-31
ITERATION 56,10.0,3.975449735908662E-31
ITERATION 57,10.0,3.975449735908662E-31
ITERATION 58,10.0,3.975449735908662E-31
ITERATION 59,10.0,3.975449735908662E-31
ITERATION 60,10.0,3.975449735908662E-31
ITERATION 61,10.0,3.975449735908662E-31
ITERATION 62,10.0,3.975449735908662E-31
ITERATION 63,10.0,3.975449735908662E-31
ITERATION 64,10.0,3.975449735908662E-31
ITERATION 65,10.0,3.975449735908662E-31
ITERATION 66,10.0,3.975449735908662E-31
ITERATION 67,10.0,3.975449735908662E-31
ITERATION 68,10.0,3.975449735908662E-31
ITERATION 69,10.0,3.975449735908662E-31
ITERATION 70,10.0,3.975449735908662E-31
ITERATION 71,10.0,3.975449735908662E-31
ITERATION 72,10.0,3.975449735908662E-31
ITERATION 73,10.0,3.975449735908662E-31
ITERATION 74,10.0,3.975449735908662E-31
ITERATION 75,10.0,3.975449735908662E-31
ITERATION 76,10.0,3.975449735908662E-31
ITERATION 77,10.0,3.975449735908662E-31
ITERATION 78,10.0,3.975449735908662E-31
ITERATION 79,10.0,3.975449735908662E-31
ITERATION 80,10.0,3.975449735908662E-31
ITERATION 81,10.0,3.975449735908662E-31
ITERATION 82,10.0,3.975449735908662E-31
ITERATION 83,10.0,3.975449735908662E-31
ITERATION 84,10.0,3.975449735908662E-31
ITERATION 85,10.0,3.975449735908662E-31
ITERATION 86,10.0,3.975449735908662E-31
ITERATION 87,10.0,3.975449735908662E-31
ITERATION 88,10.0,3.975449735908662E-31
ITERATION 89,10.0,3.975449735908662E-31
ITERATION 90,10.0,3.975449735908662E-31
ITERATION 91,10.0,3.975449735908662E-31
ITERATION 92,10.0,3.975449735908662E-31
ITERATION 93,10.0,3.975449735908662E-31
ITERATION 94,10.0,3.975449735908662E-31
ITERATION 95,10.0,3.975449735908662E-31
ITERATION 96,10.0,3.975449735908662E-31
ITERATION 97,10.0,3.975449735908662E-31
ITERATION 98,10.0,3.975449735908662E-31
ITERATION 99,10.0,3.975449735908662E-31
